#,OVM Name,Service Name,Responsible Person,Private IP,Hostname/Tag,Status,Processors,Max. Processors,Memory (GB),Max. Memory (GB),"Storage
(GB)","Storage-Partition
(GB)",Operating System,Server,Physical Server Tag
1,NDCENTSLAVEDNS,Slave Local DNS Server,System,172.21.36.12,ndcslavedns,Running,2,2,8,8,100,100,Oracle Linux 7,ovcacn10r1,2042XLB0CU
2,NDCAWOASETL,OAS-ETL,Software,172.21.36.17,,Running,1,1,2,2,50,50,Oracle Linux 7,ovcacn12r1,2042XLB0CE
3,NDCAWOASDW,OAS-DW,Software,172.21.36.19,,Running,16,16,128,128,5220,"100, 5120",Oracle Linux 7,ovcacn08r1,2042XLB0CN
4,NDCAWEPAY01,AW EPAY & Other Web Service Live(Server-01),Sarwar Sir,172.21.36.20,,Running,8,8,16,16,2248,"200, 2048",Oracle Linux 7,ovcacn08r1,2042XLB0CN
5,NDCENTADC,Additional Active Directory,System,172.21.36.24,NDCENTADC,Stopped,4,4,16,16,200,200,Microsoft Windows Server 2019,ovcacn10r1,2042XLB0CU
6,NDCAWDMS,Document Management System,Software,172.21.36.28,,Running,4,4,12,12,200,"100, 1024",Oracle Linux 7,ovcacn12r1,2042XLB0CE
7,NDCPAMAPP,PAM Application Server,Network,172.21.36.32,,Stopped,6,6,12,12,1324,"100, 200, 1024",Microsoft Windows Server 2019,ovcacn08r1,2042XLB0CN
8,NDCPAMSGW,PAM Secure Gateway Server (SGW),Network,172.21.36.33,,Stopped,6,6,12,12,100,100,Oracle Linux 8,ovcacn08r1,2042XLB0CN
9,NDCPAMDB,PAM Database Server(MS SQL),Network,172.21.36.34,,Stopped,6,6,20,20,700,"100,300,300",Microsoft Windows Server 2019,ovcacn08r1,2042XLB0CN
10,NDCAWEM,AWDB Enterprise Manager,Database,172.21.36.40,,Running,6,6,16,16,500,"100,400",Oracle Linux 7,ovcacn09r1,2042XLB0DD
11,NDCAWEXADC,Exchange Additional Active Directory,System,172.21.36.42,NDCAWEXADC,Running,8,8,32,32,400,"200, 200",Microsoft Windows Server 2019,ovcacn12r1,2042XLB0CE
